Model_Name,Price_USD,Performance_Score
Redmi Note 15,220,45
Moto G06 Power,235,41
Samsung Galaxy A07,250,43
Oppo A6x,260,42
Vivo T4 Lite,270,44
Poco M7 Plus,290,48
Samsung Galaxy A16 5G,310,47
Moto G57 Power,330,50
Realme Narzo 90X,350,52
Nothing Phone 3a Pro,380,55
Google Pixel 9a,410,68
OnePlus Nord 5,430,65
Samsung Galaxy S25 FE,460,67
Sony Xperia 10 VI,480,62
iPhone 14 Pro (Refurb),500,64
Motorola Edge 60 Fusion,520,70
iQOO Neo 10,550,75
OnePlus 13s,580,73
Xiaomi 15 Lite,600,72
Realme GT 7 Pro,630,76
Nothing Phone 3,650,78
Google Pixel 10,700,80
iPhone 16 (Base),750,79
Samsung Galaxy S25,800,82
OnePlus 15R,830,85
Apple iPhone 17,850,88
Google Pixel 10 Pro,950,91
Xiaomi 15 Ultra,1000,90
Motorola Signature,1050,92
OnePlus 15,1100,95
iQOO 15,1150,94
Samsung Galaxy S25 Plus,1200,96
Vivo X300,1250,93
Oppo Find X9,1300,95
Honor Magic8,1350,94
Realme GT 8 Pro,1400,99
Samsung Galaxy S25 Ultra,1450,98
iPhone 17 Pro,1500,97
Vivo X300 Pro,1550,100
Oppo Find X9 Pro,1600,99
iPhone 17 Pro Max,1700,101
Samsung Galaxy Z Flip 7,1800,95
Google Pixel 10 Fold,1900,96
Samsung Galaxy Z Fold 7,2100,102
Huawei Mate X6,2300,100
Sony Xperia 1 VII,1600,92
Asus ROG Phone 10,1400,98
TCL Flip 4 5G,150,20
Nokia XR21,550,55
Fairphone 6,750,60
